Nombre;Traduction_soussou
149;k̀ɛḿɛ tòngó náání nŭn sólómánáání
150;k̀ɛḿɛ tòngó súlí
151;k̀ɛḿɛ tòngó súlí nŭn kérén
152;k̀ɛḿɛ tòngó súlí nŭn ̀fírín
153;k̀ɛḿɛ tòngó súlí nŭn sàxán
154;k̀ɛḿɛ tòngó súlí nŭn náání
155;k̀ɛḿɛ tòngó súlí nŭn súlí
156;k̀ɛḿɛ tòngó súlí nŭn sénní
157;k̀ɛḿɛ tòngó súlí nŭn sólófèré
158;k̀ɛḿɛ tòngó súlí nŭn sólómásàxán
159;k̀ɛḿɛ tòngó súlí nŭn sólómánáání
160;k̀ɛḿɛ tòngó sénní
161;k̀ɛḿɛ tòngó sénní nŭn kérén
162;k̀ɛḿɛ tòngó sénní nŭn ̀fírín
163;k̀ɛḿɛ tòngó sénní nŭn sàxán
164;k̀ɛḿɛ tòngó sénní nŭn náání
165;k̀ɛḿɛ tòngó sénní nŭn súlí
166;k̀ɛḿɛ tòngó sénní nŭn sénní
167;k̀ɛḿɛ tòngó sénní nŭn sólófèré
168;k̀ɛḿɛ tòngó sénní nŭn sólómásàxán
169;k̀ɛḿɛ tòngó sénní nŭn sólómánáání
170;k̀ɛḿɛ tòngó sólófèré
171;k̀ɛḿɛ tòngó sólófèré nŭn kérén
172;k̀ɛḿɛ tòngó sólófèré nŭn ̀fírín
173;k̀ɛḿɛ tòngó sólófèré nŭn sàxán
174;k̀ɛḿɛ tòngó sólófèré nŭn náání
175;k̀ɛḿɛ tòngó sólófèré nŭn súlí
176;k̀ɛḿɛ tòngó sólófèré nŭn sénní
177;k̀ɛḿɛ tòngó sólófèré nŭn sólófèré
178;k̀ɛḿɛ tòngó sólófèré nŭn sólómásàxán
179;k̀ɛḿɛ tòngó sólófèré nŭn sólómánáání
180;k̀ɛḿɛ tòngó sólómásàxán
181;k̀ɛḿɛ tòngó sólómásàxán nŭn kérén
182;k̀ɛḿɛ tòngó sólómásàxán nŭn ̀fírín
183;k̀ɛḿɛ tòngó sólómásàxán nŭn sàxán
184;k̀ɛḿɛ tòngó sólómásàxán nŭn náání
185;k̀ɛḿɛ tòngó sólómásàxán nŭn súlí
186;k̀ɛḿɛ tòngó sólómásàxán nŭn sénní
187;k̀ɛḿɛ tòngó sólómásàxán nŭn sólófèré
188;k̀ɛḿɛ tòngó sólómásàxán nŭn sólómásàxán
189;k̀ɛḿɛ tòngó sólómásàxán nŭn sólómánáání
190;k̀ɛḿɛ tòngó sólómánáání
191;k̀ɛḿɛ tòngó sólómánáání nŭn kérén
192;k̀ɛḿɛ tòngó sólómánáání nŭn ̀fírín
193;k̀ɛḿɛ tòngó sólómánáání nŭn sàxán
194;k̀ɛḿɛ tòngó sólómánáání nŭn náání
195;k̀ɛḿɛ tòngó sólómánáání nŭn súlí
196;k̀ɛḿɛ tòngó sólómánáání nŭn sénní
197;k̀ɛḿɛ tòngó sólómánáání nŭn sólófèré
198;k̀ɛḿɛ tòngó sólómánáání nŭn sólómásàxán
199;k̀ɛḿɛ tòngó sólómánáání nŭn sólómánáání
200;k̀ɛḿɛ ̀fírín
201;k̀ɛḿɛ ̀fírín kérén
202;k̀ɛḿɛ ̀fírín ̀fírín
203;k̀ɛḿɛ ̀fírín sàxán
204;k̀ɛḿɛ ̀fírín náání
205;k̀ɛḿɛ ̀fírín súlí
206;k̀ɛḿɛ ̀fírín sénní
207;k̀ɛḿɛ ̀fírín sólófèré
208;k̀ɛḿɛ ̀fírín sólómásàxán
209;k̀ɛḿɛ ̀fírín sólómánáání
210;k̀ɛḿɛ ̀fírín fuú
211;k̀ɛḿɛ ̀fírín fuú nŭn kérén
212;k̀ɛḿɛ ̀fírín fuú nŭn ̀fírín
213;k̀ɛḿɛ ̀fírín fuú nŭn sàxán
214;k̀ɛḿɛ ̀fírín fuú nŭn náání
215;k̀ɛḿɛ ̀fírín fuú nŭn súlí
216;k̀ɛḿɛ ̀fírín fuú nŭn sénní
217;k̀ɛḿɛ ̀fírín fuú nŭn sólófèré
218;k̀ɛḿɛ ̀fírín fuú nŭn sólómásàxán
219;k̀ɛḿɛ ̀fírín fuú nŭn sólómánáání
220;k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ
221;k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn kérén
222;k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn ̀fírín
223;k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn sàxán
224;k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn náání
225;k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn súlí
226;k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn sénní
227;k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn sólófèré
228;k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn sólómásàxán
229;k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn sólómánáání
230;k̀ɛḿɛ ̀fírín tòngó sàxán
231;k̀ɛḿɛ ̀fírín tòngó sàxán nŭn kérén
232;k̀ɛḿɛ ̀fírín tòngó sàxán nŭn ̀fírín
233;k̀ɛḿɛ ̀fírín tòngó sàxán nŭn sàxán
234;k̀ɛḿɛ ̀fírín tòngó sàxán nŭn náání
235;k̀ɛḿɛ ̀fírín tòngó sàxán nŭn súlí
236;k̀ɛḿɛ ̀fírín tòngó sàxán nŭn sénní
237;k̀ɛḿɛ ̀fírín tòngó sàxán nŭn sólófèré
238;k̀ɛḿɛ ̀fírín tòngó sàxán nŭn sólómásàxán
239;k̀ɛḿɛ ̀fírín tòngó sàxán nŭn sólómánáání
240;k̀ɛḿɛ ̀fírín tòngó náání
241;k̀ɛḿɛ ̀fírín tòngó náání nŭn kérén
242;k̀ɛḿɛ ̀fírín tòngó náání nŭn ̀fírín
243;k̀ɛḿɛ ̀fírín tòngó náání nŭn sàxán
244;k̀ɛḿɛ ̀fírín tòngó náání nŭn náání
245;k̀ɛḿɛ ̀fírín tòngó náání nŭn súlí
246;k̀ɛḿɛ ̀fírín tòngó náání nŭn sénní
247;k̀ɛḿɛ ̀fírín tòngó náání nŭn sólófèré
248;k̀ɛḿɛ ̀fírín tòngó náání nŭn sólómásàxán
249;k̀ɛḿɛ ̀fírín tòngó náání nŭn sólómánáání
250;k̀ɛḿɛ ̀fírín tòngó súlí
251;k̀ɛḿɛ ̀fírín tòngó súlí nŭn kérén
252;k̀ɛḿɛ ̀fírín tòngó súlí nŭn ̀fírín
253;k̀ɛḿɛ ̀fírín tòngó súlí nŭn sàxán
254;k̀ɛḿɛ ̀fírín tòngó súlí nŭn náání
255;k̀ɛḿɛ ̀fírín tòngó súlí nŭn súlí
256;k̀ɛḿɛ ̀fírín tòngó súlí nŭn sénní
257;k̀ɛḿɛ ̀fírín tòngó súlí nŭn sólófèré
258;k̀ɛḿɛ ̀fírín tòngó súlí nŭn sólómásàxán
259;k̀ɛḿɛ ̀fírín tòngó súlí nŭn sólómánáání
260;k̀ɛḿɛ ̀fírín tòngó sénní
261;k̀ɛḿɛ ̀fírín tòngó sénní nŭn kérén
262;k̀ɛḿɛ ̀fírín tòngó sénní nŭn ̀fírín
263;k̀ɛḿɛ ̀fírín tòngó sénní nŭn sàxán
264;k̀ɛḿɛ ̀fírín tòngó sénní nŭn náání
265;k̀ɛḿɛ ̀fírín tòngó sénní nŭn súlí
266;k̀ɛḿɛ ̀fírín tòngó sénní nŭn sénní
267;k̀ɛḿɛ ̀fírín tòngó sénní nŭn sólófèré
268;k̀ɛḿɛ ̀fírín tòngó sénní nŭn sólómásàxán
269;k̀ɛḿɛ ̀fírín tòngó sénní nŭn sólómánáání
270;k̀ɛḿɛ ̀fírín tòngó sólófèré
