Nombre;Traduction_soussou
939;k̀ɛḿɛ sólómánáání tòngó sàxán nŭn sólómánáání
940;k̀ɛḿɛ sólómánáání tòngó náání
941;k̀ɛḿɛ sólómánáání tòngó náání nŭn kérén
942;k̀ɛḿɛ sólómánáání tòngó náání nŭn ̀fírín
943;k̀ɛḿɛ sólómánáání tòngó náání nŭn sàxán
944;k̀ɛḿɛ sólómánáání tòngó náání nŭn náání
945;k̀ɛḿɛ sólómánáání tòngó náání nŭn súlí
946;k̀ɛḿɛ sólómánáání tòngó náání nŭn sénní
947;k̀ɛḿɛ sólómánáání tòngó náání nŭn sólófèré
948;k̀ɛḿɛ sólómánáání tòngó náání nŭn sólómásàxán
949;k̀ɛḿɛ sólómánáání tòngó náání nŭn sólómánáání
950;k̀ɛḿɛ sólómánáání tòngó súlí
951;k̀ɛḿɛ sólómánáání tòngó súlí nŭn kérén
952;k̀ɛḿɛ sólómánáání tòngó súlí nŭn ̀fírín
953;k̀ɛḿɛ sólómánáání tòngó súlí nŭn sàxán
954;k̀ɛḿɛ sólómánáání tòngó súlí nŭn náání
955;k̀ɛḿɛ sólómánáání tòngó súlí nŭn súlí
956;k̀ɛḿɛ sólómánáání tòngó súlí nŭn sénní
957;k̀ɛḿɛ sólómánáání tòngó súlí nŭn sólófèré
958;k̀ɛḿɛ sólómánáání tòngó súlí nŭn sólómásàxán
959;k̀ɛḿɛ sólómánáání tòngó súlí nŭn sólómánáání
960;k̀ɛḿɛ sólómánáání tòngó sénní
961;k̀ɛḿɛ sólómánáání tòngó sénní nŭn kérén
962;k̀ɛḿɛ sólómánáání tòngó sénní nŭn ̀fírín
963;k̀ɛḿɛ sólómánáání tòngó sénní nŭn sàxán
964;k̀ɛḿɛ sólómánáání tòngó sénní nŭn náání
965;k̀ɛḿɛ sólómánáání tòngó sénní nŭn súlí
966;k̀ɛḿɛ sólómánáání tòngó sénní nŭn sénní
967;k̀ɛḿɛ sólómánáání tòngó sénní nŭn sólófèré
968;k̀ɛḿɛ sólómánáání tòngó sénní nŭn sólómásàxán
969;k̀ɛḿɛ sólómánáání tòngó sénní nŭn sólómánáání
970;k̀ɛḿɛ sólómánáání tòngó sólófèré
971;k̀ɛḿɛ sólómánáání tòngó sólófèré nŭn kérén
972;k̀ɛḿɛ sólómánáání tòngó sólófèré nŭn ̀fírín
973;k̀ɛḿɛ sólómánáání tòngó sólófèré nŭn sàxán
974;k̀ɛḿɛ sólómánáání tòngó sólófèré nŭn náání
975;k̀ɛḿɛ sólómánáání tòngó sólófèré nŭn súlí
976;k̀ɛḿɛ sólómánáání tòngó sólófèré nŭn sénní
977;k̀ɛḿɛ sólómánáání tòngó sólófèré nŭn sólófèré
978;k̀ɛḿɛ sólómánáání tòngó sólófèré nŭn sólómásàxán
979;k̀ɛḿɛ sólómánáání tòngó sólófèré nŭn sólómánáání
980;k̀ɛḿɛ sólómánáání tòngó sólómásàxán
981;k̀ɛḿɛ sólómánáání tòngó sólómásàxán nŭn kérén
982;k̀ɛḿɛ sólómánáání tòngó sólómásàxán nŭn ̀fírín
983;k̀ɛḿɛ sólómánáání tòngó sólómásàxán nŭn sàxán
984;k̀ɛḿɛ sólómánáání tòngó sólómásàxán nŭn náání
985;k̀ɛḿɛ sólómánáání tòngó sólómásàxán nŭn súlí
986;k̀ɛḿɛ sólómánáání tòngó sólómásàxán nŭn sénní
987;k̀ɛḿɛ sólómánáání tòngó sólómásàxán nŭn sólófèré
988;k̀ɛḿɛ sólómánáání tòngó sólómásàxán nŭn sólómásàxán
989;k̀ɛḿɛ sólómánáání tòngó sólómásàxán nŭn sólómánáání
990;k̀ɛḿɛ sólómánáání tòngó sólómánáání
991;k̀ɛḿɛ sólómánáání tòngó sólómánáání nŭn kérén
992;k̀ɛḿɛ sólómánáání tòngó sólómánáání nŭn ̀fírín
993;k̀ɛḿɛ sólómánáání tòngó sólómánáání nŭn sàxán
994;k̀ɛḿɛ sólómánáání tòngó sólómánáání nŭn náání
995;k̀ɛḿɛ sólómánáání tòngó sólómánáání nŭn súlí
996;k̀ɛḿɛ sólómánáání tòngó sólómánáání nŭn sénní
997;k̀ɛḿɛ sólómánáání tòngó sólómánáání nŭn sólófèré
998;k̀ɛḿɛ sólómánáání tòngó sólómánáání nŭn sólómásàxán
999;k̀ɛḿɛ sólómánáání tòngó sólómánáání nŭn sólómánáání
1000;wúlù kérén
1001;wúlù kérén kérén
1002;wúlù kérén ̀fírín
1003;wúlù kérén sàxán
1004;wúlù kérén náání
1005;wúlù kérén súlí
1006;wúlù kérén sénní
1007;wúlù kérén sólófèré
1008;wúlù kérén sólómásàxán
1009;wúlù kérén sólómánáání
1010;wúlù kérén fuú
1011;wúlù kérén fuú nŭn kérén
1012;wúlù kérén fuú nŭn ̀fírín
1013;wúlù kérén fuú nŭn sàxán
1014;wúlù kérén fuú nŭn náání
1015;wúlù kérén fuú nŭn súlí
1016;wúlù kérén fuú nŭn sénní
1017;wúlù kérén fuú nŭn sólófèré
1018;wúlù kérén fuú nŭn sólómásàxán
1019;wúlù kérén fuú nŭn sólómánáání
1020;wúlù kérén m̀ɔx̀ɔǵɛŋ
1021;wúlù kérén m̀ɔx̀ɔǵɛŋ nŭn kérén
1022;wúlù kérén m̀ɔx̀ɔǵɛŋ nŭn ̀fírín
1023;wúlù kérén m̀ɔx̀ɔǵɛŋ nŭn sàxán
1024;wúlù kérén m̀ɔx̀ɔǵɛŋ nŭn náání
1025;wúlù kérén m̀ɔx̀ɔǵɛŋ nŭn súlí
1026;wúlù kérén m̀ɔx̀ɔǵɛŋ nŭn sénní
1027;wúlù kérén m̀ɔx̀ɔǵɛŋ nŭn sólófèré
1028;wúlù kérén m̀ɔx̀ɔǵɛŋ nŭn sólómásàxán
1029;wúlù kérén m̀ɔx̀ɔǵɛŋ nŭn sólómánáání
1030;wúlù kérén tòngó sàxán
1031;wúlù kérén tòngó sàxán nŭn kérén
1032;wúlù kérén tòngó sàxán nŭn ̀fírín
1033;wúlù kérén tòngó sàxán nŭn sàxán
1034;wúlù kérén tòngó sàxán nŭn náání
1035;wúlù kérén tòngó sàxán nŭn súlí
1036;wúlù kérén tòngó sàxán nŭn sénní
1037;wúlù kérén tòngó sàxán nŭn sólófèré
1038;wúlù kérén tòngó sàxán nŭn sólómásàxán
1039;wúlù kérén tòngó sàxán nŭn sólómánáání
1040;wúlù kérén tòngó náání
1041;wúlù kérén tòngó náání nŭn kérén
1042;wúlù kérén tòngó náání nŭn ̀fírín
1043;wúlù kérén tòngó náání nŭn sàxán
1044;wúlù kérén tòngó náání nŭn náání
1045;wúlù kérén tòngó náání nŭn súlí
1046;wúlù kérén tòngó náání nŭn sénní
1047;wúlù kérén tòngó náání nŭn sólófèré
1048;wúlù kérén tòngó náání nŭn sólómásàxán
1049;wúlù kérén tòngó náání nŭn sólómánáání
1050;wúlù kérén tòngó súlí
1051;wúlù kérén tòngó súlí nŭn kérén
1052;wúlù kérén tòngó súlí nŭn ̀fírín
1053;wúlù kérén tòngó súlí nŭn sàxán
1054;wúlù kérén tòngó súlí nŭn náání
1055;wúlù kérén tòngó súlí nŭn súlí
1056;wúlù kérén tòngó súlí nŭn sénní
1057;wúlù kérén tòngó súlí nŭn sólófèré
1058;wúlù kérén tòngó súlí nŭn sólómásàxán
1059;wúlù kérén tòngó súlí nŭn sólómánáání
1060;wúlù kérén tòngó sénní
1061;wúlù kérén tòngó sénní nŭn kérén
1062;wúlù kérén tòngó sénní nŭn ̀fírín
1063;wúlù kérén tòngó sénní nŭn sàxán
1064;wúlù kérén tòngó sénní nŭn náání
1065;wúlù kérén tòngó sénní nŭn súlí
1066;wúlù kérén tòngó sénní nŭn sénní
1067;wúlù kérén tòngó sénní nŭn sólófèré
1068;wúlù kérén tòngó sénní nŭn sólómásàxán
1069;wúlù kérén tòngó sénní nŭn sólómánáání
1070;wúlù kérén tòngó sólófèré
1071;wúlù kérén tòngó sólófèré nŭn kérén
1072;wúlù kérén tòngó sólófèré nŭn ̀fírín
1073;wúlù kérén tòngó sólófèré nŭn sàxán
1074;wúlù kérén tòngó sólófèré nŭn náání
1075;wúlù kérén tòngó sólófèré nŭn súlí
1076;wúlù kérén tòngó sólófèré nŭn sénní
1077;wúlù kérén tòngó sólófèré nŭn sólófèré
1078;wúlù kérén tòngó sólófèré nŭn sólómásàxán
1079;wúlù kérén tòngó sólófèré nŭn sólómánáání
1080;wúlù kérén tòngó sólómásàxán
1081;wúlù kérén tòngó sólómásàxán nŭn kérén
1082;wúlù kérén tòngó sólómásàxán nŭn ̀fírín
1083;wúlù kérén tòngó sólómásàxán nŭn sàxán
1084;wúlù kérén tòngó sólómásàxán nŭn náání
1085;wúlù kérén tòngó sólómásàxán nŭn súlí
1086;wúlù kérén tòngó sólómásàxán nŭn sénní
1087;wúlù kérén tòngó sólómásàxán nŭn sólófèré
1088;wúlù kérén tòngó sólómásàxán nŭn sólómásàxán
1089;wúlù kérén tòngó sólómásàxán nŭn sólómánáání
1090;wúlù kérén tòngó sólómánáání
1091;wúlù kérén tòngó sólómánáání nŭn kérén
1092;wúlù kérén tòngó sólómánáání nŭn ̀fírín
1093;wúlù kérén tòngó sólómánáání nŭn sàxán
1094;wúlù kérén tòngó sólómánáání nŭn náání
1095;wúlù kérén tòngó sólómánáání nŭn súlí
1096;wúlù kérén tòngó sólómánáání nŭn sénní
1097;wúlù kérén tòngó sólómánáání nŭn sólófèré
1098;wúlù kérén tòngó sólómánáání nŭn sólómásàxán
1099;wúlù kérén tòngó sólómánáání nŭn sólómánáání
1100;wúlù kérén k̀ɛḿɛ
1101;Erreur
1102;wúlù kérén k̀ɛḿɛ ̀fírín
1103;wúlù kérén k̀ɛḿɛ sàxán
1104;wúlù kérén k̀ɛḿɛ náání
1105;wúlù kérén k̀ɛḿɛ súlí
1106;wúlù kérén k̀ɛḿɛ sénní
1107;wúlù kérén k̀ɛḿɛ sólófèré
1108;wúlù kérén k̀ɛḿɛ sólómásàxán
1109;wúlù kérén k̀ɛḿɛ sólómánáání
1110;wúlù kérén k̀ɛḿɛ fuú
1111;wúlù kérén k̀ɛḿɛ fuú nŭn kérén
1112;wúlù kérén k̀ɛḿɛ fuú nŭn ̀fírín
1113;wúlù kérén k̀ɛḿɛ fuú nŭn sàxán
1114;wúlù kérén k̀ɛḿɛ fuú nŭn náání
1115;wúlù kérén k̀ɛḿɛ fuú nŭn súlí
1116;wúlù kérén k̀ɛḿɛ fuú nŭn sénní
1117;wúlù kérén k̀ɛḿɛ fuú nŭn sólófèré
1118;wúlù kérén k̀ɛḿɛ fuú nŭn sólómásàxán
1119;wúlù kérén k̀ɛḿɛ fuú nŭn sólómánáání
1120;wúlù kérén k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ
1121;wúlù kérén k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn kérén
1122;wúlù kérén k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn ̀fírín
1123;wúlù kérén k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn sàxán
1124;wúlù kérén k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn náání
1125;wúlù kérén k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn súlí
1126;wúlù kérén k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn sénní
1127;wúlù kérén k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn sólófèré
1128;wúlù kérén k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn sólómásàxán
1129;wúlù kérén k̀ɛḿɛ m̀ɔx̀ɔǵɛŋ nŭn sólómánáání
1130;wúlù kérén k̀ɛḿɛ tòngó sàxán
1131;wúlù kérén k̀ɛḿɛ tòngó sàxán nŭn kérén
1132;wúlù kérén k̀ɛḿɛ tòngó sàxán nŭn ̀fírín
1133;wúlù kérén k̀ɛḿɛ tòngó sàxán nŭn sàxán
1134;wúlù kérén k̀ɛḿɛ tòngó sàxán nŭn náání
1135;wúlù kérén k̀ɛḿɛ tòngó sàxán nŭn súlí
1136;wúlù kérén k̀ɛḿɛ tòngó sàxán nŭn sénní
1137;wúlù kérén k̀ɛḿɛ tòngó sàxán nŭn sólófèré
1138;wúlù kérén k̀ɛḿɛ tòngó sàxán nŭn sólómásàxán
1139;wúlù kérén k̀ɛḿɛ tòngó sàxán nŭn sólómánáání
1140;wúlù kérén k̀ɛḿɛ tòngó náání
1141;wúlù kérén k̀ɛḿɛ tòngó náání nŭn kérén
1142;wúlù kérén k̀ɛḿɛ tòngó náání nŭn ̀fírín
1143;wúlù kérén k̀ɛḿɛ tòngó náání nŭn sàxán
1144;wúlù kérén k̀ɛḿɛ tòngó náání nŭn náání
1145;wúlù kérén k̀ɛḿɛ tòngó náání nŭn súlí
1146;wúlù kérén k̀ɛḿɛ tòngó náání nŭn sénní
1147;wúlù kérén k̀ɛḿɛ tòngó náání nŭn sólófèré
1148;wúlù kérén k̀ɛḿɛ tòngó náání nŭn sólómásàxán
1149;wúlù kérén k̀ɛḿɛ tòngó náání nŭn sólómánáání
1150;wúlù kérén k̀ɛḿɛ tòngó súlí
1151;wúlù kérén k̀ɛḿɛ tòngó súlí nŭn kérén
1152;wúlù kérén k̀ɛḿɛ tòngó súlí nŭn ̀fírín
1153;wúlù kérén k̀ɛḿɛ tòngó súlí nŭn sàxán
1154;wúlù kérén k̀ɛḿɛ tòngó súlí nŭn náání
1155;wúlù kérén k̀ɛḿɛ tòngó súlí nŭn súlí
1156;wúlù kérén k̀ɛḿɛ tòngó súlí nŭn sénní
1157;wúlù kérén k̀ɛḿɛ tòngó súlí nŭn sólófèré
1158;wúlù kérén k̀ɛḿɛ tòngó súlí nŭn sólómásàxán
1159;wúlù kérén k̀ɛḿɛ tòngó súlí nŭn sólómánáání
1160;wúlù kérén k̀ɛḿɛ tòngó sénní
1161;wúlù kérén k̀ɛḿɛ tòngó sénní nŭn kérén
1162;wúlù kérén k̀ɛḿɛ tòngó sénní nŭn ̀fírín
1163;wúlù kérén k̀ɛḿɛ tòngó sénní nŭn sàxán
1164;wúlù kérén k̀ɛḿɛ tòngó sénní nŭn náání
1165;wúlù kérén k̀ɛḿɛ tòngó sénní nŭn súlí
1166;wúlù kérén k̀ɛḿɛ tòngó sénní nŭn sénní
1167;wúlù kérén k̀ɛḿɛ tòngó sénní nŭn sólófèré
1168;wúlù kérén k̀ɛḿɛ tòngó sénní nŭn sólómásàxán
1169;wúlù kérén k̀ɛḿɛ tòngó sénní nŭn sólómánáání
1170;wúlù kérén k̀ɛḿɛ tòngó sólófèré
1171;wúlù kérén k̀ɛḿɛ tòngó sólófèré nŭn kérén
1172;wúlù kérén k̀ɛḿɛ tòngó sólófèré nŭn ̀fírín
1173;wúlù kérén k̀ɛḿɛ tòngó sólófèré nŭn sàxán
1174;wúlù kérén k̀ɛḿɛ tòngó sólófèré nŭn náání
1175;wúlù kérén k̀ɛḿɛ tòngó sólófèré nŭn súlí
1176;wúlù kérén k̀ɛḿɛ tòngó sólófèré nŭn sénní
1177;wúlù kérén k̀ɛḿɛ tòngó sólófèré nŭn sólófèré
1178;wúlù kérén k̀ɛḿɛ tòngó sólófèré nŭn sólómásàxán
1179;wúlù kérén k̀ɛḿɛ tòngó sólófèré nŭn sólómánáání
1180;wúlù kérén k̀ɛḿɛ tòngó sólómásàxán
1181;wúlù kérén k̀ɛḿɛ tòngó sólómásàxán nŭn kérén
1182;wúlù kérén k̀ɛḿɛ tòngó sólómásàxán nŭn ̀fírín
1183;wúlù kérén k̀ɛḿɛ tòngó sólómásàxán nŭn sàxán
1184;wúlù kérén k̀ɛḿɛ tòngó sólómásàxán nŭn náání
1185;wúlù kérén k̀ɛḿɛ tòngó sólómásàxán nŭn súlí
1186;wúlù kérén k̀ɛḿɛ tòngó sólómásàxán nŭn sénní
1187;wúlù kérén k̀ɛḿɛ tòngó sólómásàxán nŭn sólófèré
1188;wúlù kérén k̀ɛḿɛ tòngó sólómásàxán nŭn sólómásàxán
1189;wúlù kérén k̀ɛḿɛ tòngó sólómásàxán nŭn sólómánáání
1190;wúlù kérén k̀ɛḿɛ tòngó sólómánáání
1191;wúlù kérén k̀ɛḿɛ tòngó sólómánáání nŭn kérén
1192;wúlù kérén k̀ɛḿɛ tòngó sólómánáání nŭn ̀fírín
1193;wúlù kérén k̀ɛḿɛ tòngó sólómánáání nŭn sàxán
1194;wúlù kérén k̀ɛḿɛ tòngó sólómánáání nŭn náání
1195;wúlù kérén k̀ɛḿɛ tòngó sólómánáání nŭn súlí
1196;wúlù kérén k̀ɛḿɛ tòngó sólómánáání nŭn sénní
1197;wúlù kérén k̀ɛḿɛ tòngó sólómánáání nŭn sólófèré
1198;wúlù kérén k̀ɛḿɛ tòngó sólómánáání nŭn sólómásàxán
1199;wúlù kérén k̀ɛḿɛ tòngó sólómánáání nŭn sólómánáání
1200;wúlù kérén k̀ɛḿɛ ̀fírín
1201;wúlù kérén k̀ɛḿɛ ̀fírín kérén
1202;wúlù kérén k̀ɛḿɛ ̀fírín ̀fírín
1203;wúlù kérén k̀ɛḿɛ ̀fírín sàxán
1204;wúlù kérén k̀ɛḿɛ ̀fírín náání
1205;wúlù kérén k̀ɛḿɛ ̀fírín súlí
1206;wúlù kérén k̀ɛḿɛ ̀fírín sénní
1207;wúlù kérén k̀ɛḿɛ ̀fírín sólófèré
1208;wúlù kérén k̀ɛḿɛ ̀fírín sólómásàxán
1209;wúlù kérén k̀ɛḿɛ ̀fírín sólómánáání
1210;wúlù kérén k̀ɛḿɛ ̀fírín fuú
1211;wúlù kérén k̀ɛḿɛ ̀fírín fuú nŭn kérén
1212;wúlù kérén k̀ɛḿɛ ̀fírín fuú nŭn ̀fírín
1213;wúlù kérén k̀ɛḿɛ ̀fírín fuú nŭn sàxán
1214;wúlù kérén k̀ɛḿɛ ̀fírín fuú nŭn náání
1215;wúlù kérén k̀ɛḿɛ ̀fírín fuú nŭn súlí
1216;wúlù kérén k̀ɛḿɛ ̀fírín fuú nŭn sénní
1217;wúlù kérén k̀ɛḿɛ ̀fírín fuú nŭn sólófèré
1218;wúlù kérén k̀ɛḿɛ ̀fírín fuú nŭn sólómásàxán
1219;wúlù kérén k̀ɛḿɛ ̀fírín fuú nŭn sólómánáání
1220;wúlù kérén k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ
1221;wúlù kérén k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn kérén
1222;wúlù kérén k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn ̀fírín
1223;wúlù kérén k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn sàxán
1224;wúlù kérén k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn náání
1225;wúlù kérén k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn súlí
1226;wúlù kérén k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn sénní
1227;wúlù kérén k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn sólófèré
1228;wúlù kérén k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn sólómásàxán
1229;wúlù kérén k̀ɛḿɛ ̀fírín m̀ɔx̀ɔǵɛŋ nŭn sólómánáání
1230;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sàxán
1231;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sàxán nŭn kérén
1232;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sàxán nŭn ̀fírín
1233;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sàxán nŭn sàxán
1234;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sàxán nŭn náání
1235;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sàxán nŭn súlí
1236;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sàxán nŭn sénní
1237;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sàxán nŭn sólófèré
1238;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sàxán nŭn sólómásàxán
1239;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sàxán nŭn sólómánáání
1240;wúlù kérén k̀ɛḿɛ ̀fírín tòngó náání
1241;wúlù kérén k̀ɛḿɛ ̀fírín tòngó náání nŭn kérén
1242;wúlù kérén k̀ɛḿɛ ̀fírín tòngó náání nŭn ̀fírín
1243;wúlù kérén k̀ɛḿɛ ̀fírín tòngó náání nŭn sàxán
1244;wúlù kérén k̀ɛḿɛ ̀fírín tòngó náání nŭn náání
1245;wúlù kérén k̀ɛḿɛ ̀fírín tòngó náání nŭn súlí
1246;wúlù kérén k̀ɛḿɛ ̀fírín tòngó náání nŭn sénní
1247;wúlù kérén k̀ɛḿɛ ̀fírín tòngó náání nŭn sólófèré
1248;wúlù kérén k̀ɛḿɛ ̀fírín tòngó náání nŭn sólómásàxán
1249;wúlù kérén k̀ɛḿɛ ̀fírín tòngó náání nŭn sólómánáání
1250;wúlù kérén k̀ɛḿɛ ̀fírín tòngó súlí
1251;wúlù kérén k̀ɛḿɛ ̀fírín tòngó súlí nŭn kérén
1252;wúlù kérén k̀ɛḿɛ ̀fírín tòngó súlí nŭn ̀fírín
1253;wúlù kérén k̀ɛḿɛ ̀fírín tòngó súlí nŭn sàxán
1254;wúlù kérén k̀ɛḿɛ ̀fírín tòngó súlí nŭn náání
1255;wúlù kérén k̀ɛḿɛ ̀fírín tòngó súlí nŭn súlí
1256;wúlù kérén k̀ɛḿɛ ̀fírín tòngó súlí nŭn sénní
1257;wúlù kérén k̀ɛḿɛ ̀fírín tòngó súlí nŭn sólófèré
1258;wúlù kérén k̀ɛḿɛ ̀fírín tòngó súlí nŭn sólómásàxán
1259;wúlù kérén k̀ɛḿɛ ̀fírín tòngó súlí nŭn sólómánáání
1260;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sénní
1261;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sénní nŭn kérén
1262;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sénní nŭn ̀fírín
1263;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sénní nŭn sàxán
1264;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sénní nŭn náání
1265;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sénní nŭn súlí
1266;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sénní nŭn sénní
1267;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sénní nŭn sólófèré
1268;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sénní nŭn sólómásàxán
1269;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sénní nŭn sólómánáání
1270;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólófèré
1271;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn kérén
1272;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn ̀fírín
1273;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn sàxán
1274;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn náání
1275;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn súlí
1276;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn sénní
1277;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn sólófèré
1278;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn sólómásàxán
1279;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólófèré nŭn sólómánáání
1280;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómásàxán
1281;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn kérén
1282;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn ̀fírín
1283;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn sàxán
1284;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn náání
1285;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn súlí
1286;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn sénní
1287;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn sólófèré
1288;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn sólómásàxán
1289;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómásàxán nŭn sólómánáání
1290;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómánáání
1291;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn kérén
1292;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn ̀fírín
1293;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn sàxán
1294;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn náání
1295;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn súlí
1296;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn sénní
1297;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn sólófèré
1298;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn sólómásàxán
1299;wúlù kérén k̀ɛḿɛ ̀fírín tòngó sólómánáání nŭn sólómánáání
1300;wúlù kérén k̀ɛḿɛ sàxán
1301;wúlù kérén k̀ɛḿɛ sàxán kérén
1302;wúlù kérén k̀ɛḿɛ sàxán ̀fírín
1303;wúlù kérén k̀ɛḿɛ sàxán sàxán
1304;wúlù kérén k̀ɛḿɛ sàxán náání
1305;wúlù kérén k̀ɛḿɛ sàxán súlí
1306;wúlù kérén k̀ɛḿɛ sàxán sénní
1307;wúlù kérén k̀ɛḿɛ sàxán sólófèré
1308;wúlù kérén k̀ɛḿɛ sàxán sólómásàxán
1309;wúlù kérén k̀ɛḿɛ sàxán sólómánáání
1310;wúlù kérén k̀ɛḿɛ sàxán fuú
1311;wúlù kérén k̀ɛḿɛ sàxán fuú nŭn kérén
1312;wúlù kérén k̀ɛḿɛ sàxán fuú nŭn ̀fírín
1313;wúlù kérén k̀ɛḿɛ sàxán fuú nŭn sàxán
1314;wúlù kérén k̀ɛḿɛ sàxán fuú nŭn náání
1315;wúlù kérén k̀ɛḿɛ sàxán fuú nŭn súlí
1316;wúlù kérén k̀ɛḿɛ sàxán fuú nŭn sénní
1317;wúlù kérén k̀ɛḿɛ sàxán fuú nŭn sólófèré
1318;wúlù kérén k̀ɛḿɛ sàxán fuú nŭn sólómásàxán
1319;wúlù kérén k̀ɛḿɛ sàxán fuú nŭn sólómánáání
1320;wúlù kérén k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ
1321;wúlù kérén k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn kérén
1322;wúlù kérén k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn ̀fírín
1323;wúlù kérén k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn sàxán
1324;wúlù kérén k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn náání
1325;wúlù kérén k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn súlí
1326;wúlù kérén k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn sénní
1327;wúlù kérén k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn sólófèré
1328;wúlù kérén k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn sólómásàxán
